day,stockprice,percentreturn,balance,score
24,109.26,3.19%,108.36,-0.91
25,108.25,-0.93%,108.36,0.1
26,111.62,3.11%,111.73,0.1
27,113.42,1.61%,111.73,-1.69
28,110.82,-2.30%,111.73,0.91
29,112.02,1.08%,112.93,0.91
30,111.83,-0.17%,112.73,0.9
2,100.04,0.04%,100,-0.05
3,101.29,1.24%,100,-1.3
4,102.25,0.94%,100,-2.25
5,99.69,-2.51%,100,0.31
6,98.81,-0.89%,99.11,0.29
7,100.67,1.88%,100.97,0.29
8,103.83,3.13%,100.97,-2.86
9,103.98,0.14%,100.97,-3.02
10,106.22,2.15%,103.14,-3.08
11,104.68,-1.45%,103.14,-1.55
12,107.88,3.05%,106.29,-1.59
13,108.17,0.26%,106.29,-1.88
14,108.98,0.74%,106.29,-2.69
15,111.32,2.14%,106.29,-5.03
16,108.36,-2.66%,106.29,-2.07
17,109.57,1.11%,107.47,-2.1
18,110,0.39%,107.89,-2.11
19,112.29,2.08%,110.13,-2.17
20,112.86,0.50%,110.13,-2.74
21,114.53,1.47%,110.13,-4.41
22,114.56,0.02%,110.13,-4.44
23,115.07,0.44%,110.13,-4.94
24,112.3,-2.41%,110.13,-2.18
25,111.81,-0.44%,109.64,-2.18
26,115.21,3.04%,112.97,-2.24
27,112.22,-2.60%,112.97,0.75
28,113.47,1.11%,114.22,0.75
29,113.16,-0.28%,113.9,0.74
30,115.06,1.67%,115.81,0.75
2,100.37,0.37%,100,-0.38
3,98.79,-1.58%,100,1.2
4,98.84,0.05%,100.05,1.2
5,95.95,-2.93%,97.12,1.17
6,94.13,-1.90%,95.27,1.14
7,91.38,-2.93%,92.48,1.1
8,92.44,1.15%,93.55,1.1
9,91.39,-1.14%,93.55,2.15
10,89.64,-1.92%,93.55,3.9
11,89.17,-0.53%,93.05,3.87
12,86.85,-2.61%,90.62,3.77
13,84,-3.29%,87.64,3.64
14,87.24,3.85%,91.02,3.78
15,88.8,1.78%,91.02,2.21
16,87.01,-2.02%,91.02,4
17,86.03,-1.13%,89.99,3.95
18,88.18,2.49%,92.23,4.04
19,85.29,-3.28%,92.23,6.93
20,83.51,-2.09%,90.3,6.78
21,86.6,3.70%,93.64,7.04
22,87.52,1.06%,93.64,6.12
23,88.44,1.05%,93.64,5.2
24,90.12,1.89%,93.64,3.51
25,89.71,-0.46%,93.64,3.93
26,89.3,-0.46%,93.21,3.9
27,90.91,1.80%,94.89,3.98
28,88.09,-3.11%,94.89,6.79
29,86.99,-1.25%,93.7,6.71
30,84.89,-2.42%,91.43,6.54
2,103.01,3.01%,100,-3.02
3,106.44,3.32%,100,-6.44
4,109.85,3.20%,100,-9.85
5,109.02,-0.76%,100,-9.02
6,106.31,-2.49%,97.51,-8.8
7,109.35,2.85%,100.29,-9.06
8,108.91,-0.41%,100.29,-8.62
9,106.66,-2.07%,100.29,-6.37
10,108.96,2.15%,102.45,-6.51
11,107.4,-1.44%,102.45,-4.96
12,107.48,0.07%,102.45,-5.04
13,110.77,3.06%,102.45,-8.32
14,109.35,-1.29%,102.45,-6.9
15,111.32,1.80%,104.29,-7.03
16,113.77,2.20%,106.58,-7.19
17,112.97,-0.71%,106.58,-6.39
18,114.91,1.71%,108.41,-6.5
19,116.11,1.04%,109.54,-6.57
20,114.25,-1.61%,107.78,-6.47
21,114.47,0.19%,107.98,-6.49
22,116.84,2.07%,110.21,-6.64
23,114.59,-1.93%,110.21,-4.39
24,113.32,-1.11%,108.98,-4.34
25,114.02,0.61%,109.65,-4.37
26,112.95,-0.94%,109.65,-3.3
27,110.79,-1.92%,109.65,-1.15
28,112.11,1.19%,110.95,-1.16
29,109.56,-2.28%,110.95,1.39
30,112.29,2.49%,113.71,1.41
2,101.84,1.84%,100,-1.85
3,100.82,-1.01%,100,-0.82
4,100.68,-0.14%,99.86,-0.83
5,102.13,1.44%,101.29,-0.84
6,104.03,1.86%,101.29,-2.74
7,102.29,-1.68%,101.29,-1
8,101.29,-0.98%,100.29,-1
9,99.18,-2.09%,98.2,-0.99
10,100.01,0.83%,99.02,-1
11,102.38,2.36%,99.02,-3.36
12,100.19,-2.14%,99.02,-1.18
13,99.87,-0.32%,98.7,-1.18
14,102.51,2.64%,101.3,-1.22
15,103.22,0.69%,101.3,-1.93
16,106.12,2.80%,101.3,-4.83
17,107.13,0.95%,101.3,-5.83
18,109.78,2.47%,101.3,-8.49
19,106.85,-2.67%,101.3,-5.55
20,106.33,-0.49%,100.8,-5.54
21,108.8,2.32%,103.14,-5.66
22,111.48,2.46%,103.14,-8.35
23,108.94,-2.28%,103.14,-5.8
24,108.67,-0.25%,102.88,-5.8
25,109.19,0.47%,103.37,-5.82
26,106.41,-2.55%,103.37,-3.04
27,104.66,-1.65%,101.66,-3
28,106.49,1.74%,103.43,-3.06
29,106.58,0.08%,103.43,-3.15
30,108.08,1.40%,103.43,-4.65
2,97.66,-2.35%,100,2.34
3,99.44,1.82%,101.82,2.37
4,97.1,-2.36%,101.82,4.71
5,99.61,2.58%,104.45,4.84
6,98.46,-1.16%,104.45,5.99
7,98.35,-0.12%,104.45,6.1
8,101.74,3.44%,104.45,2.71
9,98.76,-2.93%,104.45,5.68
10,98.21,-0.56%,103.86,5.65
11,96.61,-1.63%,102.16,5.54
12,98.1,1.54%,103.73,5.63
13,100.05,1.98%,103.73,3.68
14,101.32,1.26%,103.73,2.41
15,101.18,-0.14%,103.73,2.54
16,101.72,0.53%,104.28,2.56
17,100.16,-1.54%,102.68,2.52
18,98.65,-1.51%,101.13,2.47
19,98.59,-0.07%,101.06,2.46
20,96.29,-2.34%,98.7,2.4
21,98.57,2.36%,101.03,2.46
22,96.36,-2.25%,101.03,4.67
23,97.83,1.52%,102.57,4.73
24,96.23,-1.64%,100.89,4.65
25,94.85,-1.44%,99.44,4.59
26,93.44,-1.49%,97.96,4.51
27,94.95,1.61%,99.54,4.59
28,95.37,0.44%,99.54,4.17
29,93.26,-2.22%,99.54,6.28
30,90.58,-2.88%,96.67,6.09
2,102.19,2.18%,100,-2.19
3,103.52,1.30%,100,-3.52
4,106.25,2.63%,100,-6.25
5,104.53,-1.62%,100,-4.54
6,106.29,1.68%,101.68,-4.61
7,103.31,-2.81%,98.82,-4.5
8,104.96,1.59%,100.39,-4.57
9,103.52,-1.38%,100.39,-3.13
10,104.26,0.71%,100.39,-3.88
11,107.46,3.06%,100.39,-7.07
12,109.16,1.58%,100.39,-8.77
13,110.17,0.92%,100.39,-9.79
14,108.7,-1.34%,100.39,-8.32
15,110.65,1.79%,102.19,-8.47
16,108.87,-1.61%,102.19,-6.69
17,106.44,-2.24%,99.9,-6.54
18,106.75,0.29%,100.19,-6.57
19,109.04,2.14%,100.19,-8.86
20,107.86,-1.09%,100.19,-7.68
21,110.24,2.20%,102.4,-7.84
22,113.66,3.10%,102.4,-11.26
23,111.03,-2.32%,102.4,-8.63
24,110.59,-0.40%,101.99,-8.61
25,112.98,2.16%,104.19,-8.8
26,112.82,-0.15%,104.19,-8.63
27,114.52,1.50%,104.19,-10.33
28,111.81,-2.37%,104.19,-7.63
29,112.37,0.50%,104.71,-7.67
30,115.79,3.04%,107.89,-7.91
2,101.27,1.26%,100,-1.27
3,100.31,-0.95%,100,-0.32
4,102.86,2.54%,100,-2.86
5,105.82,2.87%,100,-5.82
6,106.96,1.07%,100,-6.96
7,104.94,-1.89%,100,-4.94
8,108.02,2.93%,102.93,-5.09
9,106.35,-1.55%,102.93,-3.42
10,104.47,-1.77%,101.11,-3.36
11,105.71,1.18%,102.31,-3.4
12,105.52,-0.18%,102.31,-3.21
13,105.82,0.28%,102.31,-3.51
14,104.88,-0.89%,102.31,-2.57
15,105.54,0.62%,102.31,-3.24
16,105.51,-0.03%,102.31,-3.21
17,103.5,-1.91%,102.31,-1.19
18,104.09,0.57%,102.89,-1.21
19,102.7,-1.34%,101.51,-1.19
20,102.63,-0.07%,101.44,-1.19
21,105.19,2.49%,103.97,-1.22
22,104.57,-0.59%,103.97,-0.6
23,107.55,2.84%,106.93,-0.62
24,110.4,2.64%,106.93,-3.47
25,110.78,0.34%,106.93,-3.85
26,113.43,2.39%,109.48,-3.96
27,113.72,0.25%,109.48,-4.24
28,111.34,-2.10%,109.48,-1.86
29,111.35,0%,109.48,-1.87
30,114.75,3.05%,112.82,-1.94
2,103.31,3.31%,100,-3.32
3,101.14,-2.11%,100,-1.15
4,100.25,-0.88%,99.12,-1.13
5,100.26,0%,99.12,-1.15
6,97.72,-2.54%,96.6,-1.13
7,99.83,2.15%,98.68,-1.15
8,97.26,-2.58%,98.68,1.42
9,100.29,3.11%,101.75,1.45
10,100.71,0.41%,101.75,1.04
11,103.97,3.23%,101.75,-2.22
12,105.13,1.11%,101.75,-3.38
13,102.6,-2.41%,101.75,-0.85
14,101.08,-1.49%,100.24,-0.85
15,103.39,2.28%,102.53,-0.86
16,104.45,1.02%,102.53,-1.93
17,107.4,2.82%,102.53,-4.88
18,109.92,2.34%,102.53,-7.39
19,113.1,2.89%,102.53,-10.57
20,114.11,0.89%,102.53,-11.58
21,114.29,0.15%,102.69,-11.61
22,117.22,2.56%,105.32,-11.91
23,118.98,1.50%,105.32,-13.67
24,119.58,0.50%,105.32,-14.27
25,118.83,-0.63%,105.32,-13.52
26,116.75,-1.76%,105.32,-11.44
27,118.13,1.18%,106.56,-11.57
28,119.58,1.22%,106.56,-13.02
29,121.34,1.47%,106.56,-14.78
30,122.71,1.12%,106.56,-16.15
2,103.25,3.25%,103.25,0
3,105.69,2.36%,103.25,-2.44
4,103.63,-1.95%,103.25,-0.38
5,104.08,0.43%,103.69,-0.4
6,104.87,0.75%,104.47,-0.41
7,105.89,0.97%,105.48,-0.41
8,107.58,1.59%,107.16,-0.43
9,108.85,1.18%,108.42,-0.43
10,108.18,-0.62%,107.75,-0.44
11,105.38,-2.59%,104.96,-0.43
12,102.46,-2.78%,102.05,-0.41
13,103.82,1.32%,103.4,-0.42
14,103.77,-0.05%,103.4,-0.37
15,106.74,2.86%,103.4,-3.34
16,110.15,3.19%,103.4,-6.75
17,108.95,-1.09%,103.4,-5.55
18,111.87,2.68%,106.17,-5.71
19,111.07,-0.72%,106.17,-4.9
20,114.27,2.88%,106.17,-8.1
21,114.1,-0.15%,106.17,-7.93
22,112.43,-1.47%,106.17,-6.27
23,114.84,2.14%,108.44,-6.41
24,115.84,0.87%,108.44,-7.41
25,118.75,2.51%,108.44,-10.32
26,121.54,2.34%,108.44,-13.11
27,123.27,1.42%,108.44,-14.83
28,123.03,-0.20%,108.44,-14.6
29,124.8,1.43%,110,-14.8
30,126.76,1.57%,111.72,-15.05
2,99.59,-0.41%,100,0.4
3,99.65,0.06%,100.06,0.4
4,100.36,0.71%,100.77,0.4
5,100.06,-0.30%,100.46,0.39
6,102.76,2.69%,103.17,0.4
7,100.55,-2.16%,103.17,2.62
8,97.63,-2.91%,100.17,2.54
9,97.33,-0.31%,99.86,2.53
10,95.33,-2.06%,99.86,4.53
11,98.55,3.37%,103.23,4.68
12,101.88,3.37%,103.23,1.35
13,99.19,-2.65%,103.23,4.04
14,102.3,3.13%,106.46,4.15
15,100.56,-1.71%,106.46,5.89
16,103.57,2.99%,109.64,6.07
17,102.41,-1.13%,109.64,7.23
18,99.72,-2.63%,106.76,7.04
19,101.99,2.27%,109.19,7.2
20,101.22,-0.76%,109.19,7.96
21,100.02,-1.19%,109.19,9.17
22,98.16,-1.86%,107.15,8.99
23,100.61,2.49%,109.82,9.2
24,100.48,-0.13%,109.82,9.33
25,98.27,-2.20%,109.82,11.54
26,99.78,1.53%,111.5,11.72
27,102.63,2.85%,111.5,8.87
28,100.32,-2.26%,111.5,11.18
29,98.19,-2.13%,109.13,10.93
30,95.87,-2.37%,106.55,10.67
2,101.44,1.43%,100,-1.44
3,101.48,0.03%,100,-1.49
4,98.98,-2.47%,100,1.01
5,99.59,0.61%,100.61,1.01
6,97.19,-2.41%,100.61,3.42
7,97.1,-0.10%,100.51,3.41
8,95.3,-1.86%,98.64,3.34
9,93.08,-2.33%,96.34,3.26
10,94.43,1.45%,97.73,3.29
11,97.02,2.74%,97.73,0.71
12,97.83,0.83%,97.73,-0.1
13,100.23,2.45%,97.73,-2.5
14,102.88,2.64%,97.73,-5.15
15,103.92,1.01%,97.73,-6.19
16,105.74,1.75%,97.73,-8.01
17,103.11,-2.49%,97.73,-5.38
18,100.27,-2.76%,95.03,-5.24
19,98.49,-1.78%,93.34,-5.15
20,97.36,-1.15%,92.26,-5.1
21,95.53,-1.88%,90.52,-5.02
22,93.87,-1.74%,88.94,-4.94
23,96.98,3.31%,91.88,-5.11
24,96.97,-0.02%,91.88,-5.1
25,95.15,-1.88%,91.88,-3.28
26,98.4,3.41%,95.01,-3.4
27,100.68,2.31%,95.01,-5.68
28,97.97,-2.70%,95.01,-2.96
29,100.44,2.52%,97.4,-3.04
30,102.25,1.80%,97.4,-4.85
2,98.88,-1.13%,100,1.12
3,100.46,1.59%,101.59,1.13
4,100,-0.46%,101.59,1.59
5,97.77,-2.24%,101.59,3.82
6,95.25,-2.58%,98.97,3.71
7,94.87,-0.40%,98.57,3.69
8,96.83,2.06%,98.57,1.73
9,95.8,-1.07%,98.57,2.76
10,95.6,-0.21%,98.36,2.76
11,98.93,3.48%,101.78,2.84
12,100.94,2.03%,101.78,0.84
13,101.19,0.24%,101.78,0.59
14,101.19,0%,101.78,0.59
15,102.23,1.02%,102.82,0.58
16,104.62,2.33%,105.22,0.59
17,106.8,2.08%,105.22,-1.58
18,106.51,-0.28%,105.22,-1.3
19,106.31,-0.19%,105.02,-1.3
20,104.9,-1.33%,103.62,-1.29
21,107.01,2.01%,105.7,-1.32
22,108.1,1.01%,105.7,-2.4
23,106.55,-1.44%,105.7,-0.85
24,107.76,1.13%,106.9,-0.86
25,106.96,-0.75%,106.1,-0.86
26,110.3,3.12%,109.41,-0.9
27,107.49,-2.55%,109.41,1.92
28,106.52,-0.91%,108.42,1.9
29,108.47,1.83%,110.4,1.93
30,106.73,-1.61%,110.4,3.67
2,97.6,-2.41%,100,2.4
3,96.77,-0.86%,99.14,2.37
4,96.83,0.06%,99.2,2.37
5,94.29,-2.63%,99.2,4.9
6,96.58,2.42%,101.6,5.01
7,98.98,2.48%,101.6,2.61
8,96.23,-2.78%,101.6,5.36
9,97.52,1.34%,102.96,5.43
10,100.72,3.28%,106.33,5.61
11,98.84,-1.87%,106.33,7.48
12,99.71,0.88%,107.26,7.55
13,97.69,-2.03%,105.08,7.39
14,96.98,-0.73%,104.31,7.32
15,97.3,0.32%,104.65,7.35
16,95.16,-2.20%,104.65,9.49
17,97.52,2.48%,107.24,9.71
18,99.26,1.78%,107.24,7.97
19,98.25,-1.02%,107.24,8.98
20,96.22,-2.07%,105.02,8.79
21,95.01,-1.26%,103.69,8.67
22,97.08,2.17%,105.94,8.86
23,97.3,0.22%,105.94,8.64
24,97.46,0.16%,105.94,8.48
25,95.16,-2.36%,105.94,10.78
26,97.57,2.53%,108.62,11.05
27,97.63,0.06%,108.62,10.99
28,100.65,3.09%,108.62,7.96
29,98.57,-2.07%,108.62,10.05
30,101.52,2.99%,111.87,10.35
2,99.7,-0.30%,99.7,0
3,100.24,0.54%,100.24,0
4,101.29,1.04%,101.29,0
5,102.8,1.49%,102.8,0
6,105.76,2.87%,105.76,0
7,107.54,1.68%,105.76,-1.79
8,106.06,-1.38%,105.76,-0.3
9,103.15,-2.75%,102.85,-0.31
10,104.56,1.36%,104.25,-0.32
11,102.89,-1.60%,104.25,1.35
12,102.26,-0.62%,104.25,1.98
13,99.61,-2.60%,104.25,4.64
14,98.56,-1.06%,103.15,4.59
15,99.44,0.89%,104.07,4.62
16,101.08,1.64%,104.07,2.98
17,98.27,-2.78%,104.07,5.79
18,100.86,2.63%,106.81,5.95
19,100.05,-0.81%,106.81,6.76
20,103.22,3.16%,106.81,3.59
21,101.53,-1.64%,106.81,5.28
22,101.31,-0.22%,106.57,5.25
23,103.44,2.10%,108.81,5.37
24,102.22,-1.18%,108.81,6.59
25,105.08,2.79%,111.85,6.76
26,107.18,1.99%,111.85,4.66
27,109.35,2.02%,111.85,2.5
28,109.36,0%,111.85,2.48
29,107.06,-2.11%,109.49,2.42
30,106.15,-0.85%,108.55,2.39
2,100.37,0.37%,100,-0.38
3,99.3,-1.07%,100,0.7
4,100.78,1.49%,100,-0.79
5,103.84,3.03%,100,-3.85
6,106.2,2.27%,100,-6.21
7,107.49,1.21%,100,-7.49
8,106.55,-0.88%,100,-6.55
9,106.26,-0.28%,99.72,-6.55
10,109.67,3.20%,102.92,-6.75
11,112.74,2.79%,102.92,-9.82
12,112.88,0.12%,102.92,-9.96
13,116.29,3.02%,106.02,-10.28
14,119.06,2.38%,106.02,-13.05
15,118.27,-0.67%,106.02,-12.25
16,120.44,1.83%,107.96,-12.49
17,122.94,2.07%,110.2,-12.74
18,123.76,0.66%,110.2,-13.57
19,122.99,-0.63%,110.2,-12.79
20,123.27,0.22%,110.45,-12.82
21,124.43,0.94%,111.48,-12.96
22,127.5,2.46%,114.23,-13.27
23,127.52,0.01%,114.23,-13.29
24,125.22,-1.81%,112.16,-13.07
25,126.47,0.99%,113.27,-13.21
26,127.43,0.75%,113.27,-14.17
27,127.79,0.28%,113.27,-14.53
28,127.81,0.01%,113.27,-14.55
29,127.2,-0.48%,113.27,-13.94
30,128.47,0.99%,113.27,-15.21
2,97.39,-2.61%,100,2.6
3,95.79,-1.65%,98.35,2.55
4,97.96,2.26%,100.57,2.6
5,96.51,-1.49%,100.57,4.05
6,96.23,-0.30%,100.27,4.03
7,96.64,0.42%,100.69,4.04
8,97.22,0.60%,101.29,4.07
9,98.84,1.66%,102.97,4.12
10,100.56,1.74%,104.76,4.2
11,100.14,-0.42%,104.32,4.17
12,98.06,-2.08%,102.15,4.09
13,98.96,0.91%,103.08,4.12
14,99.08,0.12%,103.08,4
15,96.17,-2.94%,103.08,6.9
16,94.8,-1.43%,101.61,6.81
17,94.03,-0.82%,100.78,6.75
18,95.11,1.14%,101.93,6.82
19,93.54,-1.66%,101.93,8.39
20,90.89,-2.84%,99.04,8.15
21,92.27,1.51%,100.54,8.27
22,95.21,3.18%,100.54,5.33
23,98.5,3.45%,100.54,2.04
24,96.28,-2.26%,100.54,4.26
25,94.73,-1.61%,98.92,4.18
26,97.46,2.88%,101.77,4.31
27,97.11,-0.36%,101.77,4.65
28,96.65,-0.48%,101.77,5.11
29,98.18,1.58%,103.38,5.19
30,95.22,-3.02%,103.38,8.15
2,100.15,0.15%,100,-0.16
3,97.24,-2.91%,100,2.76
4,95.01,-2.30%,97.7,2.68
5,92.84,-2.29%,95.46,2.61
6,93.76,0.99%,96.4,2.64
7,94.22,0.49%,96.4,2.18
8,95.09,0.92%,96.4,1.31
9,97.24,2.26%,96.4,-0.84
10,99.71,2.54%,96.4,-3.31
11,101.33,1.62%,96.4,-4.93
12,101.84,0.50%,96.4,-5.44
13,102.68,0.82%,96.4,-6.29
14,105.77,3%,96.4,-9.37
15,107.14,1.29%,96.4,-10.74
16,104.4,-2.56%,96.4,-8
17,102.71,-1.62%,94.83,-7.88
18,102.32,-0.38%,94.46,-7.86
19,105.72,3.32%,94.46,-11.27
20,106.33,0.57%,94.46,-11.88
21,104.55,-1.68%,94.46,-10.1
22,107.1,2.43%,96.76,-10.34
23,104.57,-2.37%,96.76,-7.81
24,107.44,2.74%,99.41,-8.04
25,105.21,-2.08%,99.41,-5.8
26,103.8,-1.35%,98.07,-5.74
27,104.25,0.43%,98.49,-5.77
28,104.56,0.29%,98.49,-6.08
29,101.61,-2.83%,98.49,-3.13
30,103.3,1.66%,100.12,-3.18
2,100.42,0.42%,100,-0.43
3,99.54,-0.88%,100,0.45
4,98.78,-0.77%,100,1.21
5,96.47,-2.34%,100,3.53
6,98.64,2.24%,102.24,3.59
7,99.29,0.65%,102.24,2.94
8,101.13,1.85%,102.24,1.1
9,101.3,0.16%,102.24,0.93
10,98.65,-2.62%,102.24,3.58
11,97.53,-1.14%,101.07,3.53
12,98.58,1.07%,102.15,3.57
13,100.62,2.06%,102.15,1.53
14,97.69,-2.92%,102.15,4.46
15,99.76,2.11%,104.31,4.54
16,100.44,0.68%,104.31,3.87
17,98.59,-1.85%,104.31,5.71
18,99.91,1.33%,105.7,5.79
19,102.84,2.93%,105.7,2.85
20,103.71,0.84%,105.7,1.99
21,102.4,-1.27%,105.7,3.29
22,99.44,-2.90%,102.64,3.2
23,102.9,3.47%,106.21,3.3
24,102.77,-0.13%,106.21,3.43
25,104.68,1.85%,106.21,1.52
26,102.74,-1.86%,106.21,3.46
27,104.02,1.24%,107.53,3.51
28,106.16,2.05%,109.74,3.57
29,105.72,-0.42%,109.74,4.01
30,107.45,1.63%,111.53,4.07
2,98.99,-1.02%,100,1.01
3,99.08,0.09%,100.09,1.01
4,97.02,-2.08%,98,0.98
5,96.46,-0.58%,97.43,0.97
6,95.69,-0.80%,96.65,0.96
7,98.61,3.05%,99.59,0.98
8,100.48,1.89%,99.59,-0.9
9,98.43,-2.05%,99.59,1.15
10,98.91,0.48%,100.07,1.15
11,97.94,-0.99%,99.08,1.14
12,97.07,-0.89%,98.19,1.12
13,98.85,1.83%,99.99,1.14
14,96.3,-2.58%,99.99,3.68
15,99.61,3.43%,103.42,3.81
16,98.25,-1.37%,103.42,5.17
17,98.86,0.62%,104.06,5.2
18,101.61,2.78%,106.95,5.34
19,101.25,-0.36%,106.95,5.7
20,104.09,2.80%,109.94,5.84
21,107.43,3.20%,109.94,2.5
22,110.58,2.93%,109.94,-0.65
23,108.98,-1.45%,109.94,0.95
24,108.97,-0.01%,109.92,0.95
25,108.81,-0.15%,109.75,0.93
26,105.94,-2.64%,106.85,0.9
27,107.47,1.44%,108.39,0.92
28,110.48,2.80%,108.39,-2.1
29,113.65,2.86%,108.39,-5.27
30,114.3,0.57%,108.39,-5.91
2,103.01,3.01%,103.01,0
3,105.41,2.32%,103.01,-2.4
4,107.9,2.36%,103.01,-4.9
5,108.51,0.56%,103.01,-5.5
6,105.83,-2.47%,100.46,-5.38
7,104.73,-1.04%,99.41,-5.33
8,107.8,2.93%,102.32,-5.49
9,110.68,2.67%,102.32,-8.37
10,111.52,0.75%,102.32,-9.21
11,112.97,1.30%,103.65,-9.32
12,114.66,1.49%,105.2,-9.46
13,118.15,3.04%,108.4,-9.75
14,117.22,-0.79%,108.4,-8.82
15,119.71,2.12%,110.7,-9.01
16,116.91,-2.34%,110.7,-6.21
17,118.16,1.06%,111.88,-6.29
18,121.14,2.52%,114.7,-6.44
19,118.96,-1.80%,114.7,-4.26
20,117.75,-1.02%,113.53,-4.22
21,119.17,1.20%,114.89,-4.29
22,118.06,-0.94%,114.89,-3.18
23,117.95,-0.10%,114.89,-3.07
24,116.44,-1.29%,114.89,-1.55
25,113.47,-2.56%,114.89,1.42
26,111.94,-1.35%,113.34,1.4
27,113.96,1.80%,115.38,1.42
28,111.35,-2.30%,115.38,4.03
29,112.52,1.05%,116.59,4.07
30,112.02,-0.45%,116.07,4.04
2,97.04,-2.96%,100,2.95
3,94.99,-2.12%,97.88,2.89
4,92.44,-2.69%,95.25,2.81
5,91.64,-0.87%,94.42,2.78
6,92.6,1.04%,95.4,2.8
7,92.15,-0.49%,95.4,3.25
8,90.71,-1.57%,95.4,4.69
9,90.83,0.13%,95.52,4.68
10,93.47,2.90%,98.29,4.82
11,92.65,-0.88%,98.29,5.64
12,92.12,-0.58%,97.72,5.59
13,94.88,2.99%,100.64,5.76
14,95.83,1%,100.64,4.81
15,97.85,2.10%,100.64,2.79
16,97.32,-0.55%,100.64,3.32
17,100.29,3.05%,103.71,3.41
18,101.41,1.11%,103.71,2.29
19,104.31,2.85%,103.71,-0.61
20,102.86,-1.40%,103.71,0.84
21,104.76,1.84%,105.62,0.85
22,106.81,1.95%,107.68,0.87
23,109.75,2.75%,107.68,-2.07
24,108.77,-0.90%,107.68,-1.09
25,110.63,1.71%,109.52,-1.11
26,107.77,-2.59%,106.68,-1.09
27,104.88,-2.69%,103.81,-1.07
28,106.3,1.35%,105.21,-1.1
29,108.52,2.08%,105.21,-3.32
30,106.75,-1.64%,105.21,-1.55
2,102.61,2.60%,100,-2.61
3,102.2,-0.40%,100,-2.21
4,101.85,-0.35%,99.65,-2.2
5,104.55,2.65%,102.29,-2.26
6,105.73,1.12%,102.29,-3.44
7,107.26,1.44%,102.29,-4.97
8,107.36,0.09%,102.29,-5.07
9,107.56,0.18%,102.29,-5.27
10,110.54,2.77%,102.29,-8.25
11,113.9,3.03%,102.29,-11.61
12,115.26,1.19%,102.29,-12.97
13,115.6,0.29%,102.59,-13.01
14,116.27,0.57%,103.18,-13.09
15,116.81,0.46%,103.65,-13.16
16,114.07,-2.35%,101.21,-12.86
17,114.19,0.10%,101.31,-12.88
18,113.91,-0.25%,101.06,-12.85
19,114.99,0.94%,102.01,-12.98
20,113.22,-1.54%,100.43,-12.79
21,116.1,2.54%,102.98,-13.12
22,117.24,0.98%,102.98,-14.26
23,116.61,-0.54%,102.98,-13.63
24,115.41,-1.03%,101.92,-13.49
25,113.36,-1.78%,100.1,-13.27
26,112.85,-0.45%,99.64,-13.21
27,114.85,1.77%,101.4,-13.45
28,114.97,0.10%,101.4,-13.57
29,116.89,1.67%,101.4,-15.49
30,115.58,-1.13%,101.4,-14.18
2,100.75,0.75%,100,-0.75
3,98.32,-2.42%,100,1.68
4,98.76,0.44%,100.44,1.67
5,98.63,-0.14%,100.3,1.67
6,100.01,1.39%,101.7,1.68
7,101.24,1.22%,102.95,1.71
8,98.25,-2.96%,99.9,1.65
9,100.55,2.34%,102.23,1.68
10,101.64,1.08%,102.23,0.59
11,104.52,2.83%,102.23,-2.29
12,104.05,-0.45%,102.23,-1.82
13,104.39,0.32%,102.56,-1.83
14,103.08,-1.26%,101.27,-1.82
15,103.02,-0.06%,101.21,-1.82
16,106.1,2.98%,104.23,-1.87
17,105.72,-0.36%,104.23,-1.49
18,106.87,1.08%,105.36,-1.52
19,106.48,-0.37%,104.97,-1.52
20,106.44,-0.04%,104.93,-1.51
21,106.79,0.32%,105.27,-1.53
22,103.95,-2.66%,102.47,-1.49
23,105.88,1.85%,104.37,-1.51
24,108.25,2.23%,104.37,-3.88
25,106.24,-1.86%,104.37,-1.87
26,108.27,1.91%,106.36,-1.91
27,107.83,-0.41%,106.36,-1.47
28,111.14,3.06%,106.36,-4.79
29,111.47,0.29%,106.36,-5.11
30,114.24,2.48%,106.36,-7.88
2,99.72,-0.29%,99.72,0
3,97.92,-1.81%,97.92,0
4,98.73,0.82%,98.73,0
5,98.44,-0.30%,98.73,0.29
6,101.04,2.64%,98.73,-2.32
7,102.1,1.04%,98.73,-3.37
8,100.52,-1.55%,98.73,-1.79
9,101.83,1.30%,100.01,-1.82
10,101.08,-0.74%,99.27,-1.82
11,100.53,-0.55%,98.72,-1.82
12,101.67,1.13%,99.83,-1.85
13,102.51,0.82%,99.83,-2.69
14,105.44,2.85%,99.83,-5.61
15,103.69,-1.66%,99.83,-3.86
16,101.41,-2.20%,97.63,-3.79
17,101.55,0.13%,97.76,-3.79
18,98.89,-2.62%,97.76,-1.13
19,99.33,0.44%,98.19,-1.15
20,102.39,3.08%,98.19,-4.21
21,99.83,-2.51%,98.19,-1.65
22,103.01,3.18%,101.31,-1.71
23,101.02,-1.94%,101.31,0.29
24,103.69,2.64%,103.98,0.29
25,103.36,-0.32%,103.98,0.62
26,105.03,1.61%,103.98,-1.05
27,103.09,-1.85%,103.98,0.89
28,104.27,1.14%,105.17,0.9
29,107.36,2.96%,108.28,0.92
30,110.26,2.70%,108.28,-1.99
2,100.65,0.65%,100.65,0
3,99.09,-1.55%,99.09,0
4,98.49,-0.61%,98.49,0
5,97.94,-0.56%,97.94,0
6,100.38,2.49%,100.38,0
